pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
54815,SSG,정현승,SSG17정현승,17,외야수,좌투좌타,2001년 10월 24일,180cm/80kg,0.500,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,0.500,1.500,0,0.000,0.000
53827,SSG,에레디아,SSG27에레디아,27,외야수,좌투우타,1991년 01월 31일,178cm/88kg,0.339,96,415,375,46,127,18,0,13,184,54,0,2,31,4,7,62,9,0.491,0.398,0.889,36,0.366,0.000
50840,SSG,현원회,SSG8현원회,8,내야수,우투우타,2001년 07월 08일,180cm/95kg,0.305,21,62,59,6,18,1,0,1,22,6,0,0,3,0,0,16,3,0.373,0.339,0.712,4,0.235,0.500
50868,SSG,류효승,SSG45류효승,45,외야수,우투우타,1996년 07월 16일,190cm/100kg,0.287,27,103,94,18,27,5,0,6,50,16,0,0,7,0,2,28,1,0.532,0.350,0.882,7,0.273,0.500
50854,SSG,최지훈,SSG54최지훈,54,외야수,우투좌타,1997년 07월 23일,178cm/82kg,0.284,140,574,517,66,147,16,4,7,192,45,4,5,43,2,5,87,2,0.371,0.342,0.713,37,0.280,0.286
51868,SSG,고명준,SSG18고명준,18,내야수,우투우타,2002년 07월 08일,185cm/94kg,0.278,130,500,471,46,131,20,1,17,204,64,0,7,20,1,2,99,12,0.433,0.306,0.739,43,0.235,0.000
67893,SSG,박성한,SSG2박성한,2,내야수,우투좌타,1998년 03월 30일,180cm/77kg,0.274,127,538,452,73,124,23,2,7,172,48,2,2,79,1,3,93,6,0.381,0.384,0.765,31,0.275,0.500
62895,SSG,한유섬,SSG35한유섬,35,외야수,우투좌타,1989년 08월 09일,190cm/105kg,0.273,128,511,455,50,124,24,0,15,193,71,1,2,46,3,7,120,6,0.424,0.347,0.771,36,0.291,0.333
52804,SSG,석정우,SSG52석정우,52,내야수,우투우타,1999년 01월 20일,180cm/82kg,0.265,27,54,49,3,13,1,0,2,20,4,0,0,4,0,1,18,1,0.408,0.333,0.741,0,0.300,0.000
66864,SSG,안상현,SSG10안상현,10,내야수,우투우타,1997년 01월 27일,178cm/74kg,0.264,102,289,258,38,68,8,2,6,98,15,9,2,18,0,2,85,2,0.380,0.314,0.694,19,0.200,0.000
